tau,sigma,tau_after,sigma_after,switch_cycle,cycle,s1_mean,s1_std,s2_mean,s2_std
0.0,0.0,0.0,0.0,,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.0,0.0,0.0,0.0,,1,0.5311879376240045,0.00031605399341585316,0.46881206237599543,0.0003160539934158855
0.0,0.0,0.0,0.0,,2,0.5321259357480044,0.00036245290189069324,0.46787406425199557,0.0003624529018907017
0.0,0.0,0.0,0.0,,3,0.5326499347000043,0.0004047343215918127,0.4673500652999957,0.0004047343215918152
0.0,0.0,0.0,0.0,,4,0.5330909338180042,0.0004023331754766315,0.4669090661819958,0.0004023331754766393
0.0,0.0,0.0,0.0,,5,0.5334199331600042,0.0004165008887343252,0.46658006683999576,0.00041650088873432055
0.0,0.0,0.0,0.0,,6,0.5336729326540042,0.0004306791395198699,0.4663270673459959,0.00043067913951986935
0.0,0.0,0.0,0.0,,7,0.5338959322080041,0.0004272596970716465,0.4661040677919959,0.0004272596970716303
0.0,0.0,0.0,0.0,,8,0.5340779318440041,0.00043460239815340843,0.4659220681559959,0.00043460239815342654
0.0,0.0,0.0,0.0,,9,0.5342479315040041,0.00044915737879148326,0.465752068495996,0.00044915737879146553
0.0,0.0,0.0,0.0,,10,0.534359931280004,0.00044023828896904603,0.46564006871999597,0.00044023828896904495
0.0,0.0,0.0,0.0,,11,0.534474931050004,0.00042869974969686085,0.465525068949996,0.0004286997496968601
0.0,0.0,0.0,0.0,,12,0.534549930900004,0.00044050122485127805,0.465450069099996,0.00044050122485125094
0.0,0.0,0.0,0.0,,13,0.534618930762004,0.00043992614758760115,0.46538106923799605,0.0004399261475875651
0.0,0.0,0.0,0.0,,14,0.534667930664004,0.00042154518361382825,0.465332069335996,0.0004215451836138569
0.0,0.0,0.0,0.0,,15,0.5347099305800039,0.0004141438197186435,0.46529006941999607,0.00041414381971863825
0.0,0.0,0.0,0.0,,16,0.534737930524004,0.00041110295518865077,0.465262069475996,0.00041110295518862654
0.0,0.0,0.0,0.0,,17,0.534764930470004,0.00040879072625773057,0.465235069529996,0.00040879072625766097
0.0,0.0,0.0,0.0,,18,0.5347809304380039,0.000413124616658256,0.4652190695619961,0.00041312461665825724
0.0,0.0,0.0,0.0,,19,0.5348009303980039,0.00041235951846414526,0.46519906960199603,0.0004123595184641669
0.0,0.0,0.0,0.0,,20,0.5348159303680039,0.00040851897569088656,0.4651840696319961,0.0004085189756909423
0.0,0.0,0.0,0.0,,21,0.5348259303480039,0.0004071510389143278,0.46517406965199604,0.0004071510389143318
0.0,0.0,0.0,0.0,,22,0.5348369303260039,0.00040891430655048776,0.46516306967399607,0.00040891430655049584
0.0,0.0,0.0,0.0,,23,0.534845930308004,0.00040715103891434616,0.4651540696919961,0.00040715103891431645
0.0,0.0,0.0,0.0,,24,0.5348529302940039,0.00040752186756513046,0.46514706970599606,0.00040752186756509094
0.0,0.0,0.0,0.0,,25,0.5348559302880039,0.00040686655117857796,0.465144069711996,0.00040686655117858674
0.0,0.0,0.0,0.0,,26,0.534857930284004,0.00040698554296910637,0.4651420697159961,0.00040698554296911634
0.0,0.0,0.0,0.0,,27,0.5348629302740039,0.00040581350940722375,0.4651370697259961,0.0004058135094072771
0.0,0.0,0.0,0.0,,28,0.534863930272004,0.0004055189983277901,0.46513606972799604,0.0004055189983278366
0.0,0.0,0.0,0.0,,29,0.534863930272004,0.0004055189983277901,0.46513606972799604,0.0004055189983278366
0.0,0.0,0.0,0.0,,30,0.534863930272004,0.0004055189983277901,0.46513606972799604,0.0004055189983278366
0.0,0.0,0.0,0.0,,31,0.534863930272004,0.0004055189983277901,0.46513606972799604,0.0004055189983278366
0.0,0.0,0.0,0.0,,32,0.534863930272004,0.0004055189983277901,0.46513606972799604,0.0004055189983278366
0.0,0.0,0.0,0.0,,33,0.534863930272004,0.0004055189983277901,0.46513606972799604,0.0004055189983278366
0.0,0.0,0.0,0.0,,34,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,35,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,36,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,37,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,38,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,39,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,40,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,41,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,42,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,43,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,44,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,45,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,46,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,47,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,48,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,49,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,50,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,51,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,52,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,53,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,54,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,55,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,56,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,57,0.5348649302700039,0.00040558518464139357,0.4651350697299961,0.00040558518464140056
0.0,0.0,0.0,0.0,,58,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,59,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,60,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,61,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,62,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,63,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,64,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,65,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,66,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,67,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,68,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,69,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,70,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,71,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,72,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,73,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,74,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,75,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,76,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,77,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,78,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,79,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,80,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,81,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,82,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,83,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,84,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,85,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,86,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,87,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,88,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,89,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,90,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,91,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,92,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,93,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,94,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,95,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,96,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,97,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,98,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
0.0,0.0,0.0,0.0,,99,0.534865930268004,0.0004044533391662183,0.465134069731996,0.0004044533391662048
